,,,,,,
,Type,Market,Sub-Market,Type of Data,Data,URL
,Market,Montgomery,n/a,Market Score,100,https://app.airdna.co/data/us/airdna-314/overview
,Market,Montgomery,n/a,Annual Revenue,29047,https://app.airdna.co/data/us/airdna-314/overview
,Market,Montgomery,n/a,Annual Revenue Growth,+10%,https://app.airdna.co/data/us/airdna-314/overview
,Market,Montgomery,n/a,Total Active Listings,518,https://app.airdna.co/data/us/airdna-314/listings
,Market,Montgomery,n/a,Total Active Listings; Growth Rate,+5%,https://app.airdna.co/data/us/airdna-314/listings
,Sub-Market,Montgomery,Montgomery,Market Score,100,https://app.airdna.co/data/us/airdna-314/top-submarkets
,Market,Kauai,n/a,Market Score,100,https://app.airdna.co/data/us/airdna-337/overview
,Market,Kauai,n/a,Annual Revenue,106000,https://app.airdna.co/data/us/airdna-337/overview
,Market,Kauai,n/a,Annual Revenue Growth,+6%,https://app.airdna.co/data/us/airdna-337/overview
,Market,Kauai,n/a,Total Active Listings,5248,https://app.airdna.co/data/us/airdna-337/listings
,Market,Kauai,n/a,Total Active Listings; Growth Rate,+10%,https://app.airdna.co/data/us/airdna-337/listings
,Sub-Market,Kauai,Kilauea,Market Score,100,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Koloa,Market Score,99,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Princeville,Market Score,99,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Hanalei,Market Score,98,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Kekaha,Market Score,98,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Lihue,Market Score,97,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Kapaa,Market Score,94,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Anahola,Market Score,58,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Kalaheo,Market Score,37,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Sub-Market,Kauai,Hanapepe,Market Score,--,https://app.airdna.co/data/us/airdna-337/top-submarkets
,Market,Fort Wayne,n/a,Market Score,100,https://app.airdna.co/data/us/airdna-409/overview
,Market,Fort Wayne,n/a,Annual Revenue,25187,https://app.airdna.co/data/us/airdna-409/overview
,Market,Fort Wayne,n/a,Annual Revenue Growth,+13%,https://app.airdna.co/data/us/airdna-409/overview
,Market,Fort Wayne,n/a,Total Active Listings,559,https://app.airdna.co/data/us/airdna-409/listings
,Market,Fort Wayne,n/a,Total Active Listings; Growth Rate,+1%,https://app.airdna.co/data/us/airdna-409/listings
,Sub-Market,Fort Wayne,Fort Wayne,Market Score,100,https://app.airdna.co/data/us/airdna-409/top-submarkets
,Market,Texas West Area,n/a,Market Score,100,https://app.airdna.co/data/us/airdna-183/overview
,Market,Texas West Area,n/a,Annual Revenue,30022,https://app.airdna.co/data/us/airdna-183/overview
,Market,Texas West Area,n/a,Annual Revenue Growth,+6%,https://app.airdna.co/data/us/airdna-183/overview
,Market,Texas West Area,n/a,Total Active Listings,2816,https://app.airdna.co/data/us/airdna-183/listings
,Market,Texas West Area,n/a,Total Active Listings; Growth Rate,+19%,https://app.airdna.co/data/us/airdna-183/listings
,Sub-Market,Texas West Area,Sweetwater,Market Score,100,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Odessa,Market Score,100,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Snyder,Market Score,100,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Pampa,Market Score,99,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,San Angelo,Market Score,99,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Tulia,Market Score,99,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Kermit,Market Score,98,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Midland,Market Score,98,https://app.airdna.co/data/us/airdna-183/top-submarkets
,Sub-Market,Texas West Area,Big Spring,Market Score,98,https://app.airdna.co/data/us/airdna-183/top-submarkets
